StateId,Year,Tpr_LT_1Mo,Tpr_1_to_5Mo,Tpr_6_to_11Mo,Tpr_12_to_17Mo,Tpr_18_to_23Mo,Tpr_24_to_29Mo,Tpr_30_to_35Mo,Tpr_3_to_4YR,Tpr_MT_5YR,Total,Missing,Mean,Meridian
8,2015,1.3,44.3,31.6,11.4,5.1,2.5,1.3,2.5,0.0,79,0,8.9,6
9,2015,1.9,61.2,24.3,2.9,3.9,0.0,0.0,1.9,3.9,103,3,8.7,4
10,2015,.4,40.0,32.3,14.1,5.9,2.8,1.6,2.1,.9,3303,128,10.0,7
11,2015,.6,23.6,36.4,19.5,9.4,4.6,2.1,2.4,1.4,863,49,12.4,9
12,2015,10.2,41.5,26.7,12.5,2.8,4.0,0.0,1.7,.6,176,0,8.7,5
13,2015,.4,36.8,40.8,9.4,6.3,3.6,.4,.9,1.3,223,0,10.0,7
14,2015,.2,6.6,30.9,27.8,13.8,8.0,4.2,6.1,2.4,1760,28,17.8,14
15,2015,10.8,21.5,25.1,20.1,8.9,4.8,3.1,3.6,2.1,1114,38,12.8,10
16,2015,.4,35.3,42.5,14.7,3.6,1.6,.7,.7,.4,979,38,8.7,7
17,2015,1.5,14.1,34.1,23.3,10.4,7.7,3.2,4.5,1.3,782,1,14.9,12
18,2015,.2,24.6,42.8,18.4,6.6,2.5,1.9,2.0,1.0,958,3,11.5,9
19,2015,.2,40.8,43.4,8.2,3.2,1.7,.9,1.7,.2,662,0,8.3,6
20,2015,0.0,11.4,36.7,30.2,9.3,6.5,3.4,2.2,.3,324,4,13.8,12
21,2015,2.4,64.0,17.5,5.8,4.1,2.4,2.1,1.4,.3,292,2,6.9,3
22,2015,.2,21.2,36.3,13.9,9.8,7.7,3.8,5.9,1.3,612,11,14.9,9
23,2015,.1,10.7,46.0,26.7,7.4,4.0,1.8,2.1,1.1,1692,80,13.0,10
24,2015,0.0,17.7,33.9,25.9,10.8,4.8,2.5,3.4,1.1,734,1,14.1,11
25,2015,.3,29.5,45.1,15.3,6.2,.3,1.3,.6,1.3,308,4,9.8,8
26,2015,30.3,38.5,18.3,6.4,2.4,1.1,.8,.9,1.4,1311,46,6.2,2
27,2015,11.3,14.6,29.1,23.8,11.6,6.3,2.6,.3,.3,302,8,11.4,10
28,2015,9.3,38.8,27.7,9.9,7.9,1.7,1.6,1.4,1.7,516,17,9.6,6
29,2015,1.3,46.3,31.5,8.9,4.7,1.6,2.3,2.8,.6,794,5,9.1,6
30,2015,2.6,43.1,35.3,9.5,.9,.9,3.4,3.4,.9,116,2,9.8,6
31,2015,.8,33.1,36.7,15.1,7.3,3.1,1.6,1.6,.6,1065,7,10.4,7
32,2015,.7,19.5,32.8,18.4,15.0,4.4,2.7,4.8,1.7,293,2,14.3,11
33,2015,.3,20.1,35.3,18.4,9.1,7.9,2.6,4.8,1.6,1885,48,14.4,10
34,2015,1.8,37.8,32.2,15.6,6.8,2.3,.8,1.6,1.1,1310,1,9.8,7
35,2015,.8,23.5,34.1,19.7,12.9,6.1,2.3,.8,0.0,132,1,11.7,10
36,2015,.2,17.2,31.8,20.5,10.7,7.4,4.8,4.6,2.7,1329,5,16.4,12
37,2015,.6,31.5,36.4,16.0,6.9,3.9,1.4,2.5,.8,2145,14,10.9,8
38,2015,.2,13.2,36.1,23.7,11.1,6.3,4.8,3.8,.7,819,16,14.6,12
39,2015,.9,42.9,31.5,15.3,4.8,1.6,1.0,1.3,.7,1821,11,9.0,6
40,2015,71.4,16.7,6.2,0.0,1.4,0.0,1.4,1.0,1.9,210,1,4.0,0
41,2015,2.0,32.8,30.1,17.4,7.5,4.7,.7,2.5,2.2,402,1,12.0,8
42,2015,1.7,11.6,26.4,31.4,7.4,5.8,4.1,7.4,4.1,121,0,18.2,13
43,2015,8.1,52.0,22.2,10.4,3.6,1.7,.5,1.1,.5,1033,80,6.8,4
44,2015,.1,24.5,35.6,19.5,8.4,4.3,2.3,3.2,2.1,5455,2,13.5,9
45,2015,2.6,61.8,21.8,5.8,2.5,1.2,1.5,2.2,.7,689,6,7.0,4
46,2015,0.0,34.4,45.5,9.0,6.9,.5,.5,2.6,.5,189,0,9.1,7
47,2015,0.0,19.6,31.5,18.4,15.0,6.8,3.4,4.1,1.1,555,7,17.0,11
