StateId,Year,Married,UnMarried,SingleFemale,SingleMale,Total,Missing
11,2016,76.2,.1,21.0,2.8,1120,1
12,2016,72.9,0.0,24.0,3.1,129,0
13,2016,75.1,3.2,17.8,3.8,185,0
14,2016,62.7,1.1,33.8,2.4,1538,8
15,2016,68.9,3.8,25.8,1.5,1535,1
16,2016,71.5,1.3,22.8,4.5,943,49
17,2016,75.0,4.7,17.5,2.8,848,22
18,2016,81.9,0.0,16.3,1.8,1104,0
19,2016,70.6,2.5,26.4,.6,727,0
20,2016,77.5,8.1,12.9,1.5,396,3
21,2016,67.8,3.1,27.1,2.0,354,7
22,2016,69.6,6.5,21.3,2.6,662,7
23,2016,69.2,9.0,20.5,1.4,2063,15
24,2016,64.8,6.9,25.7,2.6,895,4
25,2016,68.7,1.0,29.6,.8,399,1
26,2016,75.9,1.8,19.0,3.3,1575,16
27,2016,81.9,3.5,12.7,1.9,260,0
28,2016,64.8,5.0,25.2,5.0,477,6
29,2016,51.0,2.6,37.4,8.9,796,0
30,2016,83.5,1.2,15.3,0.0,85,0
31,2016,57.2,4.3,36.6,1.9,1178,7
32,2016,73.2,9.5,16.0,1.3,306,0
33,2016,49.8,4.1,43.9,2.2,1948,35
34,2016,73.8,.1,.8,25.3,1501,0
35,2016,78.0,.8,20.5,.8,132,0
36,2016,77.9,2.7,17.8,1.6,1441,8
37,2016,72.3,.4,24.0,3.3,2487,0
38,2016,80.2,3.1,14.3,2.3,767,1
39,2016,67.8,4.7,25.7,1.7,1916,1
40,2016,47.7,12.5,38.4,1.4,279,0
41,2016,83.8,.5,14.8,.9,433,0
42,2016,66.4,.9,31.8,.9,107,3
43,2016,79.0,1.2,17.5,2.3,1220,4
44,2016,67.6,1.6,26.7,4.1,5723,0
45,2016,85.8,0.0,12.7,1.6,632,0
46,2016,60.6,17.1,21.3,.9,216,0
47,2016,85.5,0.0,14.2,.3,621,6
48,2016,74.1,4.3,19.6,2.0,1349,38
49,2016,79.0,3.6,16.1,1.3,924,16
50,2016,77.1,.2,20.2,2.6,663,6
51,2016,83.1,0.0,11.2,5.6,89,0
