StateId,Year,Age_LT_1_YR,Age_1_YR,Age_2_YR,Age_3_YR,Age_4_YR,Age_5_YR,Age_6_YR,Age_7_YR,Age_8_YR,Age_0_TO_8_YR,Age_9_YR,Age_10_YR,Age_11_YR,Age_12_YR,Age_13_YR,Age_14_YR,Age_15_YR,Age_16_YR,Age_17_YR,Age_18_YR,Age_19_YR,Age_20_YR,Total,Missing,Mean,Meridian
22,2013,1.0,14.9,16.5,11.1,10.6,9.4,8.3,5.3,4.4,81.5,3.5,3.6,3.1,1.8,1.9,1.5,1.3,1.4,.4,.1,0.0,0.0,799,0,5.1,4.0
23,2013,4.1,12.5,11.5,11.6,9.3,7.6,6.8,5.0,4.9,73.3,5.2,3.7,3.8,3.7,3.0,2.1,2.3,1.6,1.1,.1,0.0,0.0,2374,0,5.8,5.0
24,2013,3.1,16.0,14.6,10.3,8.2,6.9,5.3,6.3,3.9,74.6,5.5,3.8,2.6,3.6,2.7,1.9,1.9,1.7,1.4,.2,.2,0.0,583,0,5.6,4.0
25,2013,.9,5.1,12.2,11.1,10.5,9.7,6.3,6.0,7.4,69.0,5.4,4.0,5.1,3.7,3.7,2.3,3.1,2.8,.9,0.0,0.0,0.0,352,0,6.7,6.0
26,2013,3.5,13.9,12.1,10.7,8.8,8.0,6.6,4.8,4.8,73.2,4.5,3.9,4.3,3.5,3.1,2.0,1.7,1.6,1.9,.2,.1,.1,1233,0,5.8,5.0
27,2013,1.2,11.5,15.2,9.7,8.5,9.7,6.1,6.7,6.7,75.2,4.8,3.6,3.6,1.8,3.0,4.8,2.4,.6,0.0,0.0,0.0,0.0,165,0,5.8,5.0
28,2013,2.6,8.7,13.3,12.8,10.4,8.7,8.9,7.0,4.8,77.1,5.3,2.6,3.6,2.4,1.9,2.0,2.7,1.7,.7,0.0,0.0,0.0,586,0,5.7,5.0
29,2013,2.7,10.7,14.5,10.6,9.6,8.2,6.2,5.5,5.3,73.4,6.3,5.2,2.5,4.4,2.9,1.6,1.5,1.2,1.0,0.0,0.0,0.0,729,0,5.8,5.0
30,2013,.9,2.8,16.5,12.8,12.8,11.9,10.1,7.3,4.6,79.8,4.6,4.6,4.6,.9,.9,1.8,.9,0.0,1.8,0.0,0.0,0.0,109,1,5.7,5.0
31,2013,1.2,12.0,18.3,13.3,11.1,8.0,6.0,5.3,4.4,79.6,3.0,3.3,2.9,2.5,2.4,1.5,2.2,1.6,1.0,0.0,0.0,0.0,927,0,5.3,4.0
