StateId,Year,NativeAmerican,Asian,Black,PacificIslander,Hispanic,White,Unknown,Multiracial,Total,Missing
35,2016,22.7,0.0,3.8,0.0,6.8,54.5,0.0,12.1,132,0
36,2016,.1,0.0,17.5,0.0,6.5,62.6,.1,13.2,1444,5
37,2016,10.4,.2,4.2,0.0,16.8,39.3,0.0,29.2,2487,0
38,2016,1.0,.3,2.2,.1,16.8,69.5,0.0,10.0,768,0
39,2016,.1,.1,22.5,.1,12.9,55.8,1.2,7.3,1917,0
40,2016,1.1,.7,11.1,0.0,30.1,39.8,2.2,15.1,279,0
41,2016,0.0,0.0,26.6,0.0,4.2,59.8,1.6,7.9,433,0
42,2016,48.2,.9,2.7,0.0,11.8,21.8,0.0,14.5,110,0
43,2016,.1,0.0,11.1,.1,6.5,75.3,.2,6.7,1224,0
44,2016,.1,.2,17.0,.0,44.9,31.6,1.0,5.2,5723,0
45,2016,2.7,.3,2.8,.3,18.8,71.4,0.0,3.6,632,0
46,2016,0.0,0.0,1.4,0.0,.9,90.3,0.0,7.4,216,0
47,2016,0.0,.2,25.2,.5,7.2,51.8,.2,15.0,627,0
48,2016,3.3,.7,5.7,.5,16.4,59.8,.3,13.2,1387,0
49,2016,.1,0.0,2.3,0.0,1.5,88.2,.3,7.6,940,0
50,2016,1.8,1.3,27.7,0.0,10.5,51.4,.4,6.9,669,0
51,2016,0.0,0.0,1.1,0.0,13.5,82.0,0.0,3.4,89,0
